student_id,name,class
2029987,Quinn Martinez,Freshman
2029871,Devin Hernandez,Freshman
2029654,Quinn Martinez,Freshman
2029893,Quinn Brown,Freshman
2029583,Casey Lopez,Freshman
2028439,John Martinez,Sophomore
2028674,Avery Hernandez,Sophomore
2028556,Drew Martinez,Sophomore
2028792,Jane Taylor,Sophomore
2028104,Drew Anderson,Sophomore
2027144,Logan Hernandez,Junior
2027547,Logan Taylor,Junior
2027851,Chris Gonzalez,Junior
2027180,Chris Davis,Junior
2027862,Blake Moore,Junior
2026214,Quinn Moore,Senior
2026383,Casey Thomas,Senior
2026343,Chris Taylor,Senior
2026202,Jane Smith,Senior
2026154,Avery Williams,Senior
